counter	pd	associated_permutation	knot_type
1	(2,2,2,2,2,2,2,2,2)	(1,3,5,7,9,2,4,6,8)	p5.1
2	(2,2,2,2,2,2,4,7,4)	(1,3,5,7,9,2,4,8,6)	a0.1
3	(2,2,2,2,2,4,2,5,6)	(1,3,5,7,9,2,6,8,4)	a0.1
4	(2,2,2,2,2,6,5,2,4)	(1,3,5,7,9,2,8,4,6)	a0.1
5	(2,2,2,2,4,4,3,4,4)	(1,3,5,7,9,4,8,2,6)	p5.2
6	(2,2,2,2,6,2,3,2,6)	(1,3,5,7,9,6,8,2,4)	p3.1#p3.1
7	(2,2,3,3,2,2,3,7,3)	(1,3,5,8,2,4,6,9,7)	m5.1
8	(2,2,3,3,2,3,2,6,4)	(1,3,5,8,2,4,7,9,6)	m5.2
9	(2,2,3,3,4,3,4,3,3)	(1,3,5,8,2,6,9,4,7)	m8.20
10	(2,2,3,3,5,2,4,2,4)	(1,3,5,8,2,7,9,4,6)	a6.3
11	(2,2,3,5,2,3,2,5,3)	(1,3,5,8,4,6,9,2,7)	p8.21
12	(2,2,3,5,3,2,2,4,4)	(1,3,5,8,4,7,9,2,6)	p6.2
13	(2,2,4,2,4,2,5,3,3)	(1,3,5,9,2,6,8,4,7)	a6.3
14	(2,2,4,6,2,3,2,3,3)	(1,3,5,9,6,8,2,4,7)	m5.2
15	(2,3,2,3,2,3,2,5,5)	(1,3,6,8,2,4,7,9,5)	m3.1
16	(2,3,2,3,3,4,4,3,3)	(1,3,6,8,2,5,9,4,7)	p3.1#m3.1
17	(2,3,3,2,3,3,5,3,3)	(1,3,6,9,2,5,8,4,7)	p8.20
18	(2,2,2,2,2,6,7,7,6)	(1,3,5,7,9,2,8,6,4)	p5.2
19	(2,2,2,2,4,7,6,7,4)	(1,3,5,7,9,4,2,8,6)	m3.1
20	(2,2,2,2,6,5,6,5,6)	(1,3,5,7,9,6,2,8,4)	m3.1
21	(2,2,2,4,6,5,5,6,4)	(1,3,5,7,2,8,4,9,6)	m3.1#m3.1
22	(2,2,2,4,6,7,3,4,6)	(1,3,5,7,2,8,6,9,4)	m5.2
23	(2,2,2,4,7,4,4,7,4)	(1,3,5,7,2,9,4,8,6)	m3.1
24	(2,2,2,4,7,6,2,5,6)	(1,3,5,7,2,9,6,8,4)	m3.1
25	(2,2,2,6,4,3,7,6,4)	(1,3,5,7,4,8,2,9,6)	m5.2
26	(2,2,2,6,5,2,6,7,4)	(1,3,5,7,4,9,2,8,6)	m3.1
27	(2,2,3,3,4,3,7,6,6)	(1,3,5,8,2,6,9,7,4)	p6.1
28	(2,2,3,3,4,7,5,7,3)	(1,3,5,8,2,6,4,9,7)	m6.2
29	(2,2,3,3,5,2,6,7,6)	(1,3,5,8,2,7,9,6,4)	p6.2
30	(2,2,3,3,5,6,5,6,4)	(1,3,5,8,2,7,4,9,6)	m8.21
31	(2,2,3,3,7,6,7,3,3)	(1,3,5,8,2,9,6,4,7)	m5.1
32	(2,2,3,3,7,7,6,2,4)	(1,3,5,8,2,9,7,4,6)	m5.2
33	(2,2,3,5,2,5,7,7,3)	(1,3,5,8,4,6,2,9,7)	a6.3
34	(2,2,3,5,3,4,7,6,4)	(1,3,5,8,4,7,2,9,6)	p8.20
35	(2,2,3,5,5,6,5,5,3)	(1,3,5,8,4,9,6,2,7)	m3.1
36	(2,2,3,5,5,7,4,4,4)	(1,3,5,8,4,9,7,2,6)	a0.1
37	(2,2,3,5,7,4,3,7,3)	(1,3,5,8,4,2,6,9,7)	m6.2
38	(2,2,3,5,7,5,2,6,4)	(1,3,5,8,4,2,7,9,6)	m6.1
39	(2,2,3,7,3,2,5,6,6)	(1,3,5,8,6,9,2,7,4)	p6.1
40	(2,2,3,7,3,4,7,5,3)	(1,3,5,8,6,9,4,2,7)	m6.2
41	(2,2,3,7,3,7,4,2,6)	(1,3,5,8,6,9,7,2,4)	p3.1#m3.1
42	(2,2,3,7,5,2,5,7,3)	(1,3,5,8,6,2,4,9,7)	a6.3
43	(2,2,3,7,5,5,2,4,6)	(1,3,5,8,6,2,7,9,4)	a0.1
44	(2,2,3,7,5,7,4,3,3)	(1,3,5,8,6,2,9,4,7)	m6.2
45	(2,2,3,7,7,5,2,5,3)	(1,3,5,8,6,4,9,2,7)	a6.3
46	(2,2,4,2,5,6,4,7,4)	(1,3,5,9,2,7,4,8,6)	m6.2
47	(2,2,4,2,6,7,7,3,3)	(1,3,5,9,2,8,6,4,7)	m5.2
48	(2,2,4,4,3,4,6,7,4)	(1,3,5,9,4,7,2,8,6)	a6.3
49	(2,2,4,4,4,7,5,5,3)	(1,3,5,9,4,8,6,2,7)	a0.1
50	(2,2,4,6,2,3,5,6,6)	(1,3,5,9,6,8,2,7,4)	p6.2
51	(2,2,4,6,2,5,7,5,3)	(1,3,5,9,6,8,4,2,7)	m6.1
52	(2,2,4,6,5,6,5,3,3)	(1,3,5,9,6,2,8,4,7)	m8.21
53	(2,2,4,6,7,4,3,5,3)	(1,3,5,9,6,4,8,2,7)	p8.20
54	(2,2,4,7,4,2,4,7,4)	(1,3,5,9,7,2,4,8,6)	p5.2
55	(2,2,4,7,4,4,2,5,6)	(1,3,5,9,7,2,6,8,4)	p5.2
56	(2,2,4,7,4,6,5,2,4)	(1,3,5,9,7,2,8,4,6)	m6.2
57	(2,2,4,7,6,4,3,4,4)	(1,3,5,9,7,4,8,2,6)	a6.3
58	(2,2,6,2,4,7,3,7,3)	(1,3,5,2,4,8,6,9,7)	p3.1#m3.1
59	(2,2,6,4,2,5,5,7,3)	(1,3,5,2,6,8,4,9,7)	a0.1
60	(2,2,6,5,2,4,4,7,4)	(1,3,5,2,7,9,4,8,6)	p5.2
61	(2,2,6,5,2,6,2,5,6)	(1,3,5,2,7,9,6,8,4)	p3.1#p3.1
62	(2,2,6,6,5,2,3,7,3)	(1,3,5,2,8,4,6,9,7)	p6.1
63	(2,2,6,6,5,3,2,6,4)	(1,3,5,2,8,4,7,9,6)	p6.2
64	(2,2,6,6,7,3,4,3,3)	(1,3,5,2,8,6,9,4,7)	p6.1
65	(2,2,6,7,6,2,5,3,3)	(1,3,5,2,9,6,8,4,7)	p6.2
66	(2,3,2,3,2,5,7,7,5)	(1,3,6,8,2,4,9,7,5)	a4.1
67	(2,3,2,3,3,4,7,6,6)	(1,3,6,8,2,5,9,7,4)	m6.1
68	(2,3,2,3,5,6,5,5,5)	(1,3,6,8,2,7,4,9,5)	m6.2
69	(2,3,2,3,5,7,4,4,6)	(1,3,6,8,2,7,5,9,4)	m6.1
70	(2,3,2,3,7,4,3,7,5)	(1,3,6,8,2,9,4,7,5)	a4.1
71	(2,3,2,3,7,5,2,6,6)	(1,3,6,8,2,9,5,7,4)	a0.1
72	(2,3,2,5,3,4,7,5,5)	(1,3,6,8,4,7,2,9,5)	a6.3
73	(2,3,2,5,5,2,5,7,5)	(1,3,6,8,4,9,2,7,5)	a4.1
74	(2,3,2,5,5,5,6,5,3)	(1,3,6,8,4,9,5,2,7)	m6.2
75	(2,3,2,5,5,7,4,3,5)	(1,3,6,8,4,9,7,2,5)	a6.3
76	(2,3,2,5,7,3,4,7,3)	(1,3,6,8,4,2,5,9,7)	a4.1
77	(2,3,2,5,7,5,2,5,5)	(1,3,6,8,4,2,7,9,5)	a4.1
78	(2,3,2,6,2,4,7,4,6)	(1,3,6,8,5,7,2,9,4)	p3.1
79	(2,3,2,6,4,2,5,6,6)	(1,3,6,8,5,9,2,7,4)	p6.2
80	(2,3,2,6,4,4,7,5,3)	(1,3,6,8,5,9,4,2,7)	m6.1
81	(2,3,2,6,4,7,4,2,6)	(1,3,6,8,5,9,7,2,4)	p3.1
82	(2,3,2,6,6,2,5,7,3)	(1,3,6,8,5,2,4,9,7)	a0.1
83	(2,3,2,6,6,5,2,4,6)	(1,3,6,8,5,2,7,9,4)	p6.2
84	(2,3,2,6,6,7,4,3,3)	(1,3,6,8,5,2,9,4,7)	m6.1
85	(2,3,3,2,5,6,4,6,5)	(1,3,6,9,2,7,4,8,5)	p9.42
86	(2,3,3,2,5,7,3,5,6)	(1,3,6,9,2,7,5,8,4)	p6.1
87	(2,3,3,2,6,5,3,7,5)	(1,3,6,9,2,8,4,7,5)	p6.1
88	(2,3,3,2,6,6,2,6,6)	(1,3,6,9,2,8,5,7,4)	p6.2
89	(2,3,3,4,3,4,6,6,5)	(1,3,6,9,4,7,2,8,5)	p9.44
90	(2,3,3,4,4,3,5,7,5)	(1,3,6,9,4,8,2,7,5)	p3.1#a4.1
91	(2,3,3,4,4,6,6,5,3)	(1,3,6,9,4,8,5,2,7)	m6.1
92	(2,3,3,5,2,4,6,5,6)	(1,3,6,9,5,7,2,8,4)	p7.6
93	(2,3,3,5,3,3,5,6,6)	(1,3,6,9,5,8,2,7,4)	p9.43
94	(2,3,3,5,3,5,7,5,3)	(1,3,6,9,5,8,4,2,7)	m9.42
95	(2,3,3,5,6,6,5,3,3)	(1,3,6,9,5,2,8,4,7)	p9.46
96	(2,3,3,7,4,2,4,6,5)	(1,3,6,9,7,2,4,8,5)	p7.2
97	(2,3,3,7,4,3,3,5,6)	(1,3,6,9,7,2,5,8,4)	p7.3
98	(2,3,3,7,6,4,3,3,5)	(1,3,6,9,7,4,8,2,5)	m8.20
99	(2,3,3,7,7,3,3,2,6)	(1,3,6,9,7,5,8,2,4)	p3.1#m3.1
100	(2,3,5,2,4,6,4,7,3)	(1,3,6,2,4,8,5,9,7)	m8.20
101	(2,3,5,3,3,5,5,7,3)	(1,3,6,2,5,8,4,9,7)	p5.2
102	(2,3,5,5,2,4,4,6,5)	(1,3,6,2,7,9,4,8,5)	p5.1
103	(2,3,5,5,2,5,3,5,6)	(1,3,6,2,7,9,5,8,4)	p8.19
104	(2,3,5,6,5,3,2,5,5)	(1,3,6,2,8,4,7,9,5)	p8.21
105	(2,3,5,6,6,4,4,3,3)	(1,3,6,2,8,5,9,4,7)	m6.1
106	(2,3,5,7,5,3,5,3,3)	(1,3,6,2,9,5,8,4,7)	m9.42
107	(2,3,7,4,3,3,4,7,3)	(1,3,6,4,8,2,5,9,7)	p7.4
108	(2,3,7,4,3,5,2,5,5)	(1,3,6,4,8,2,7,9,5)	p7.5
109	(2,3,7,4,6,4,2,5,3)	(1,3,6,4,8,5,9,2,7)	m8.20
110	(2,3,7,5,5,3,3,5,3)	(1,3,6,4,9,5,8,2,7)	p5.2
111	(2,4,2,4,2,5,6,6,5)	(1,3,7,9,4,6,2,8,5)	p7.7
112	(2,4,2,4,4,6,6,4,4)	(1,3,7,9,4,8,5,2,6)	a4.1
113	(2,4,2,4,4,7,5,3,5)	(1,3,7,9,4,8,6,2,5)	p6.2
114	(2,4,2,4,7,3,3,7,4)	(1,3,7,9,4,2,5,8,6)	p3.1
115	(2,4,2,4,7,4,2,6,5)	(1,3,7,9,4,2,6,8,5)	p5.2
116	(2,4,2,5,3,3,4,7,6)	(1,3,7,9,5,8,2,6,4)	p7.6
117	(2,4,2,5,3,5,7,4,4)	(1,3,7,9,5,8,4,2,6)	p6.2
118	(2,4,2,5,3,7,5,2,6)	(1,3,7,9,5,8,6,2,4)	p3.1
119	(2,4,2,5,6,2,4,7,4)	(1,3,7,9,5,2,4,8,6)	p5.2
120	(2,4,2,5,6,4,2,5,6)	(1,3,7,9,5,2,6,8,4)	p7.5
121	(2,4,2,6,2,5,7,3,5)	(1,3,7,9,6,8,4,2,5)	p3.1
122	(2,4,2,6,2,6,6,2,6)	(1,3,7,9,6,8,5,2,4)	p3.1#p3.1
123	(2,4,2,6,5,2,4,6,5)	(1,3,7,9,6,2,4,8,5)	p7.5
124	(2,4,2,6,5,3,3,5,6)	(1,3,7,9,6,2,5,8,4)	p7.1
125	(2,4,2,6,7,4,3,3,5)	(1,3,7,9,6,4,8,2,5)	p7.6
126	(2,4,4,2,4,6,4,6,4)	(1,3,7,2,4,8,5,9,6)	m10.132
127	(2,4,4,2,4,7,3,5,5)	(1,3,7,2,4,8,6,9,5)	p7.2
128	(2,4,4,2,5,5,3,7,4)	(1,3,7,2,4,9,5,8,6)	p7.2
129	(2,4,4,2,5,6,2,6,5)	(1,3,7,2,4,9,6,8,5)	p7.5
130	(2,4,4,3,3,5,5,6,4)	(1,3,7,2,5,8,4,9,6)	p7.2
131	(2,4,4,3,3,7,3,4,6)	(1,3,7,2,5,8,6,9,4)	p7.3
132	(2,4,4,3,4,4,4,7,4)	(1,3,7,2,5,9,4,8,6)	p7.5
133	(2,4,4,3,4,6,2,5,6)	(1,3,7,2,5,9,6,8,4)	p7.1
134	(2,4,4,4,2,5,5,5,5)	(1,3,7,2,6,8,4,9,5)	p7.3
135	(2,4,4,4,2,6,4,4,6)	(1,3,7,2,6,8,5,9,4)	p7.1
136	(2,4,4,4,3,4,4,6,5)	(1,3,7,2,6,9,4,8,5)	p7.1
137	(2,4,4,4,3,5,3,5,6)	(1,3,7,2,6,9,5,8,4)	p10.124
138	(2,4,6,4,3,3,4,6,4)	(1,3,7,4,8,2,5,9,6)	m10.145
139	(2,4,6,4,3,4,3,5,5)	(1,3,7,4,8,2,6,9,5)	p10.161
140	(2,4,6,5,5,3,3,4,4)	(1,3,7,4,9,5,8,2,6)	p7.2
141	(2,4,7,3,3,2,5,6,4)	(1,3,7,5,8,2,4,9,6)	p7.2
142	(2,4,7,3,3,4,3,4,6)	(1,3,7,5,8,2,6,9,4)	p7.3
143	(2,4,7,4,4,4,3,4,4)	(1,3,7,5,9,4,8,2,6)	p7.5
144	(2,5,3,3,2,6,5,6,4)	(1,3,8,2,5,7,4,9,6)	p7.6
145	(2,5,3,3,4,6,7,3,3)	(1,3,8,2,5,9,6,4,7)	m8.20
146	(2,5,3,4,3,4,3,7,5)	(1,3,8,2,6,9,4,7,5)	p7.5
147	(2,5,3,4,3,5,2,6,6)	(1,3,8,2,6,9,5,7,4)	p8.19
148	(2,5,3,4,7,3,2,5,5)	(1,3,8,2,6,4,7,9,5)	p7.5
149	(2,5,5,2,5,5,2,5,5)	(1,3,8,4,6,2,7,9,5)	p7.1
150	(2,5,5,3,2,5,6,4,4)	(1,3,8,4,7,9,5,2,6)	p5.1
151	(2,5,5,3,2,6,5,3,5)	(1,3,8,4,7,9,6,2,5)	p8.19
152	(2,5,5,3,4,3,4,6,4)	(1,3,8,4,7,2,5,9,6)	p10.161
153	(2,5,5,3,4,4,3,5,5)	(1,3,8,4,7,2,6,9,5)	p10.139
154	(2,5,6,4,4,3,4,4,4)	(1,3,8,5,9,4,7,2,6)	p7.1
155	(2,5,6,6,4,3,4,3,3)	(1,3,8,5,2,6,9,4,7)	p9.44
156	(2,5,7,3,4,3,4,3,5)	(1,3,8,6,9,4,7,2,5)	p7.5
157	(2,5,7,5,3,4,4,3,3)	(1,3,8,6,2,5,9,4,7)	p3.1#a4.1
158	(2,6,4,3,4,3,3,7,4)	(1,3,9,4,7,2,5,8,6)	p7.3
159	(2,6,4,3,4,4,2,6,5)	(1,3,9,4,7,2,6,8,5)	p7.1
160	(2,6,4,3,7,3,3,4,4)	(1,3,9,4,7,5,8,2,6)	p7.3
161	(2,6,5,3,3,4,7,3,3)	(1,3,9,5,8,2,6,4,7)	p7.3
162	(2,6,5,3,5,3,4,4,4)	(1,3,9,5,8,4,7,2,6)	p10.124
163	(2,6,6,5,3,3,5,3,3)	(1,3,9,6,2,5,8,4,7)	p9.43
164	(3,3,4,3,3,4,6,6,4)	(1,4,7,2,5,8,3,9,6)	p10.140
165	(3,3,4,3,3,7,3,3,7)	(1,4,7,2,5,8,6,9,3)	p7.4
166	(3,3,4,3,4,3,5,7,4)	(1,4,7,2,5,9,3,8,6)	m9.45
167	(3,3,4,4,3,3,5,6,5)	(1,4,7,2,6,9,3,8,5)	p11.118n
168	(3,3,4,4,3,5,3,4,7)	(1,4,7,2,6,9,5,8,3)	p10.128
169	(3,3,4,6,4,3,3,5,5)	(1,4,7,2,8,3,6,9,5)	p10.161
170	(3,3,4,7,5,3,4,3,4)	(1,4,7,2,9,5,8,3,6)	m9.45
171	(3,3,5,5,3,4,3,5,5)	(1,4,7,3,8,2,6,9,5)	p10.139
172	(3,3,7,4,3,5,3,4,4)	(1,4,7,5,9,3,8,2,6)	p10.128
173	(3,4,4,4,4,3,4,6,4)	(1,4,8,3,7,2,5,9,6)	p12.591n
174	(3,4,4,4,4,4,3,5,5)	(1,4,8,3,7,2,6,9,5)	p12.242n
175	(4,4,4,4,4,4,4,4,4)	(1,5,9,4,8,3,7,2,6)	?
176	(2,2,3,7,5,7,7,6,6)	(1,3,5,8,6,2,9,7,4)	p5.2
177	(2,2,3,7,7,7,7,7,3)	(1,3,5,8,6,4,2,9,7)	m5.2
178	(2,2,4,7,4,6,7,7,6)	(1,3,5,9,7,2,8,6,4)	a6.3
179	(2,2,4,7,6,7,6,7,4)	(1,3,5,9,7,4,2,8,6)	a4.1
180	(2,2,6,6,7,3,7,6,6)	(1,3,5,2,8,6,9,7,4)	p3.1#m3.1
181	(2,2,6,6,7,7,5,7,3)	(1,3,5,2,8,6,4,9,7)	p5.2
182	(2,2,6,7,7,6,4,7,4)	(1,3,5,2,9,7,4,8,6)	a6.3
183	(2,3,2,5,7,7,7,7,5)	(1,3,6,8,4,2,9,7,5)	p3.1
184	(2,3,2,6,6,7,7,6,6)	(1,3,6,8,5,2,9,7,4)	p5.1
185	(2,3,3,7,6,7,6,6,5)	(1,3,6,9,7,4,2,8,5)	p6.1
186	(2,3,3,7,7,6,6,5,6)	(1,3,6,9,7,5,2,8,4)	m6.1
187	(2,3,5,6,5,5,7,7,5)	(1,3,6,2,8,4,9,7,5)	a6.3
188	(2,3,5,6,6,4,7,6,6)	(1,3,6,2,8,5,9,7,4)	p8.20
189	(2,3,5,7,7,6,4,6,5)	(1,3,6,2,9,7,4,8,5)	m8.20
190	(2,3,5,7,7,7,3,5,6)	(1,3,6,2,9,7,5,8,4)	p5.2
191	(2,3,7,4,3,7,7,7,5)	(1,3,6,4,8,2,9,7,5)	p3.1
192	(2,3,7,4,6,6,7,7,3)	(1,3,6,4,8,5,2,9,7)	m6.2
193	(2,3,7,5,7,4,6,6,5)	(1,3,6,4,9,7,2,8,5)	m7.6
194	(2,3,7,7,6,6,4,7,3)	(1,3,6,4,2,8,5,9,7)	m6.2
195	(2,4,2,5,6,6,7,7,6)	(1,3,7,9,5,2,8,6,4)	p6.2
196	(2,4,2,6,7,7,6,6,5)	(1,3,7,9,6,4,2,8,5)	p6.2
197	(2,4,4,6,6,4,6,7,6)	(1,3,7,2,8,5,9,6,4)	m5.2
198	(2,4,4,6,7,7,5,5,5)	(1,3,7,2,8,6,4,9,5)	a0.1
199	(2,4,4,7,5,3,7,7,6)	(1,3,7,2,9,5,8,6,4)	a0.1
200	(2,4,4,7,6,7,4,6,5)	(1,3,7,2,9,6,4,8,5)	a6.3
201	(2,4,6,4,6,6,7,6,4)	(1,3,7,4,8,5,2,9,6)	p9.42
202	(2,4,6,4,7,5,7,5,5)	(1,3,7,4,8,6,2,9,5)	m6.2
203	(2,4,6,5,5,6,6,7,4)	(1,3,7,4,9,5,2,8,6)	m3.1#a4.1
204	(2,4,6,5,6,5,6,6,5)	(1,3,7,4,9,6,2,8,5)	p9.45
205	(2,4,6,7,6,6,4,6,4)	(1,3,7,4,2,8,5,9,6)	p9.42
206	(2,4,6,7,6,7,3,5,5)	(1,3,7,4,2,8,6,9,5)	p6.1
207	(2,4,6,7,7,5,3,7,4)	(1,3,7,4,2,9,5,8,6)	p6.1
208	(2,4,6,7,7,6,2,6,5)	(1,3,7,4,2,9,6,8,5)	p6.2
209	(2,4,7,3,3,7,6,7,6)	(1,3,7,5,8,2,9,6,4)	a0.1
210	(2,4,7,3,5,7,7,6,4)	(1,3,7,5,8,4,2,9,6)	p6.1
211	(2,4,7,3,7,5,7,4,6)	(1,3,7,5,8,6,2,9,4)	m3.1
212	(2,4,7,4,2,6,7,7,6)	(1,3,7,5,9,2,8,6,4)	a6.3
213	(2,4,7,4,4,7,6,7,4)	(1,3,7,5,9,4,2,8,6)	a4.1
214	(2,4,7,4,6,5,6,5,6)	(1,3,7,5,9,6,2,8,4)	m7.5
215	(2,4,7,6,6,5,5,6,4)	(1,3,7,5,2,8,4,9,6)	m3.1#a4.1
216	(2,4,7,6,6,7,3,4,6)	(1,3,7,5,2,8,6,9,4)	m6.1
217	(2,4,7,6,7,4,4,7,4)	(1,3,7,5,2,9,4,8,6)	a4.1
218	(2,4,7,6,7,6,2,5,6)	(1,3,7,5,2,9,6,8,4)	a4.1
219	(2,5,3,4,7,5,7,7,5)	(1,3,8,2,6,4,9,7,5)	p6.2
220	(2,5,3,5,7,4,6,7,6)	(1,3,8,2,7,5,9,6,4)	p8.20
221	(2,5,3,7,6,7,3,7,5)	(1,3,8,2,9,6,4,7,5)	m3.1
222	(2,5,5,2,5,7,7,7,5)	(1,3,8,4,6,2,9,7,5)	p3.1
223	(2,5,5,3,7,6,7,6,4)	(1,3,8,4,7,5,2,9,6)	p6.1
224	(2,5,5,5,6,5,5,7,5)	(1,3,8,4,9,6,2,7,5)	m7.5
225	(2,5,5,5,7,7,6,4,4)	(1,3,8,4,9,7,5,2,6)	a0.1
226	(2,5,5,7,4,3,7,7,5)	(1,3,8,4,2,6,9,7,5)	m5.2
227	(2,5,5,7,5,7,4,6,4)	(1,3,8,4,2,7,5,9,6)	m6.2
228	(2,5,6,2,6,7,7,6,4)	(1,3,8,5,7,4,2,9,6)	p6.2
229	(2,5,6,4,6,5,5,6,6)	(1,3,8,5,9,6,2,7,4)	m10.128
230	(2,5,6,4,6,7,7,5,3)	(1,3,8,5,9,6,4,2,7)	m8.20
231	(2,5,6,4,7,4,4,7,6)	(1,3,8,5,9,7,2,6,4)	m7.5
232	(2,5,6,4,7,6,7,4,4)	(1,3,8,5,9,7,4,2,6)	a6.3
233	(2,5,6,6,4,3,7,6,6)	(1,3,8,5,2,6,9,7,4)	m7.3
234	(2,5,6,6,4,7,5,7,3)	(1,3,8,5,2,6,4,9,7)	m7.6
235	(2,5,6,6,5,2,6,7,6)	(1,3,8,5,2,7,9,6,4)	m7.4
236	(2,5,6,6,5,6,5,6,4)	(1,3,8,5,2,7,4,9,6)	p9.45
237	(2,5,6,6,7,6,7,3,3)	(1,3,8,5,2,9,6,4,7)	p6.1
238	(2,5,7,3,4,7,5,7,5)	(1,3,8,6,9,4,2,7,5)	m5.2
239	(2,5,7,3,5,6,5,6,6)	(1,3,8,6,9,5,2,7,4)	m7.3
240	(2,5,7,3,7,6,7,3,5)	(1,3,8,6,9,7,4,2,5)	m3.1
241	(2,5,7,3,7,7,6,2,6)	(1,3,8,6,9,7,5,2,4)	p3.1#m3.1
242	(2,5,7,5,2,5,7,7,5)	(1,3,8,6,2,4,9,7,5)	m5.2
243	(2,5,7,5,3,4,7,6,6)	(1,3,8,6,2,5,9,7,4)	m7.2
244	(2,5,7,5,5,6,5,5,5)	(1,3,8,6,2,7,4,9,5)	m7.5
245	(2,5,7,5,5,7,4,4,6)	(1,3,8,6,2,7,5,9,4)	m7.2
246	(2,5,7,5,7,4,3,7,5)	(1,3,8,6,2,9,4,7,5)	m5.2
247	(2,5,7,5,7,5,2,6,6)	(1,3,8,6,2,9,5,7,4)	m3.1
248	(2,5,7,7,3,4,7,5,5)	(1,3,8,6,4,7,2,9,5)	m5.2
249	(2,5,7,7,5,5,6,5,3)	(1,3,8,6,4,9,5,2,7)	a6.3
250	(2,5,7,7,5,7,4,3,5)	(1,3,8,6,4,9,7,2,5)	p6.2
251	(2,5,7,7,7,3,4,7,3)	(1,3,8,6,4,2,5,9,7)	p3.1
252	(2,6,2,6,7,7,3,7,5)	(1,3,9,2,8,6,4,7,5)	p3.1#m3.1
253	(2,6,4,3,7,6,6,7,4)	(1,3,9,4,7,5,2,8,6)	m6.1
254	(2,6,4,4,7,5,5,7,5)	(1,3,9,4,8,6,2,7,5)	m7.2
255	(2,6,4,7,5,7,3,7,4)	(1,3,9,4,2,7,5,8,6)	m3.1
256	(2,6,5,2,6,7,6,7,4)	(1,3,9,5,7,4,2,8,6)	a4.1
257	(2,6,5,3,7,5,5,6,6)	(1,3,9,5,8,6,2,7,4)	m7.3
258	(2,6,5,3,7,7,7,5,3)	(1,3,9,5,8,6,4,2,7)	p5.2
259	(2,6,5,6,5,6,4,7,4)	(1,3,9,5,2,7,4,8,6)	m7.5
260	(2,6,5,6,6,7,7,3,3)	(1,3,9,5,2,8,6,4,7)	m6.1
261	(2,6,6,2,6,6,5,6,6)	(1,3,9,6,8,5,2,7,4)	m7.4
262	(2,6,6,5,5,6,4,6,5)	(1,3,9,6,2,7,4,8,5)	m10.128
263	(2,6,6,5,5,7,3,5,6)	(1,3,9,6,2,7,5,8,4)	m7.3
264	(2,6,6,5,6,5,3,7,5)	(1,3,9,6,2,8,4,7,5)	m7.3
265	(2,6,6,7,3,4,6,6,5)	(1,3,9,6,4,7,2,8,5)	m7.3
266	(2,6,6,7,4,3,5,7,5)	(1,3,9,6,4,8,2,7,5)	m7.2
267	(2,6,6,7,4,6,6,5,3)	(1,3,9,6,4,8,5,2,7)	p8.20
268	(2,6,7,4,3,3,7,7,6)	(1,3,9,7,2,5,8,6,4)	m6.1
269	(2,6,7,4,4,7,4,6,5)	(1,3,9,7,2,6,4,8,5)	m7.5
270	(2,6,7,6,4,6,6,4,4)	(1,3,9,7,4,8,5,2,6)	m5.2
271	(2,6,7,6,4,7,5,3,5)	(1,3,9,7,4,8,6,2,5)	p8.20
272	(2,6,7,6,7,3,3,7,4)	(1,3,9,7,4,2,5,8,6)	a0.1
273	(2,6,7,7,3,3,4,7,6)	(1,3,9,7,5,8,2,6,4)	m6.1
274	(2,6,7,7,3,5,7,4,4)	(1,3,9,7,5,8,4,2,6)	a0.1
275	(3,3,4,6,6,4,6,6,7)	(1,4,7,2,8,5,9,6,3)	m9.43
276	(3,3,4,6,6,7,6,6,4)	(1,4,7,2,8,5,3,9,6)	m9.46
277	(3,3,4,6,7,3,5,7,7)	(1,4,7,2,8,6,9,5,3)	m6.2
278	(3,3,4,6,7,6,6,5,5)	(1,4,7,2,8,6,3,9,5)	p6.1
279	(3,3,4,7,5,3,7,6,7)	(1,4,7,2,9,5,8,6,3)	m6.2
280	(3,3,4,7,5,7,5,7,4)	(1,4,7,2,9,5,3,8,6)	m7.7
281	(3,3,4,7,6,6,5,6,5)	(1,4,7,2,9,6,3,8,5)	m9.44
282	(3,3,5,5,6,6,7,6,4)	(1,4,7,3,8,5,2,9,6)	p6.1
283	(3,3,5,5,7,5,7,5,5)	(1,4,7,3,8,6,2,9,5)	a4.1
284	(3,3,5,6,5,6,6,7,4)	(1,4,7,3,9,5,2,8,6)	m9.44
285	(3,3,5,6,6,5,6,6,5)	(1,4,7,3,9,6,2,8,5)	m10.140
286	(3,3,7,3,3,7,6,6,7)	(1,4,7,5,8,2,9,6,3)	m6.2
287	(3,3,7,3,7,5,7,3,7)	(1,4,7,5,8,6,2,9,3)	m3.1#m3.1
288	(3,3,7,4,6,5,6,4,7)	(1,4,7,5,9,6,2,8,3)	m8.19
289	(3,3,7,6,6,4,6,6,4)	(1,4,7,5,2,8,3,9,6)	m9.43
290	(3,3,7,6,7,3,5,7,4)	(1,4,7,5,2,9,3,8,6)	m6.2
291	(3,3,7,7,5,3,7,6,4)	(1,4,7,5,3,8,2,9,6)	m6.2
292	(3,4,3,4,3,7,7,7,7)	(1,4,8,2,6,9,7,5,3)	p3.1
293	(3,4,3,4,6,6,7,7,5)	(1,4,8,2,6,3,9,7,5)	p8.21
294	(3,4,3,5,7,4,6,6,7)	(1,4,8,2,7,5,9,6,3)	m7.6
295	(3,4,3,5,7,7,6,6,4)	(1,4,8,2,7,5,3,9,6)	p8.21
